Country	Year	Organization	Publisher	Material	Resource.type	CostUSD	CostEUR	CostNAT	Cost
Finland	2010	Aalto University	American Mathematical Society (AMS)	mathscinet	reference database	8767.17251200288	7905	6608.08970464444	7905
Finland	2010	University of Oulu	American Mathematical Society (AMS)	mathscinet	reference database	8335.74555347421	7516	6282.90983176567	7516
Finland	2010	University of Tampere	American Mathematical Society (AMS)	mathscinet	reference database	7679.178048464	6924	5788.03454964682	6924
Finland	2010	University of Turku	American Mathematical Society (AMS)	mathscinet	reference database	5433.31791730577	4899	4095.26014712879	4899
Finland	2010	Tampere University of Technology	American Society of Civil Engineers (ASCE)	asce journals (selection)	full text materials	11819.3241569152	10657	8908.59101611585	10657
Finland	2010	Tampere University of Technology	American Society Of Mechanical Engineers (ASME)	asme journals (selection)	full text materials	4857.7122836904	4380	3661.40833729825	4380
Finland	2010	Aalto University	Annual Reviews	annual reviews	full text materials	4558.26426620263	4110	3435.70508362918	4110
Finland	2010	University of Helsinki	Annual Reviews	annual reviews	full text materials	4488.39306212216	4047	3383.04099110639	4047
Finland	2010	University of Eastern Finland	Annual Reviews	annual reviews	full text materials	4488.39306212216	4047	3383.04099110639	4047
Finland	2010	University of Oulu	Annual Reviews	sciences collection of 37 annual reviews	full text materials	4558.26426620263	4110	3435.70508362918	4110
Finland	2010	University of Turku	Annual Reviews	annual reviews (biomed&economics&physical&soc sci)	full text materials	4025.91223511327	3630	3034.45485488416	3630
Finland	2010	Aalto University	Artstor	artstor	other electronic service	975.978723663824	880	735.625419365858	880
Finland	2010	Academy of Fine Arts	Artstor	artstor	other electronic service	592.241634586911	534	446.390879478827	534
Finland	2010	Lahti University of Applied Sciences (LAMK)	Artstor	artstor	other electronic service	846.217916085793	763	637.820676109261	763
Finland	2010	Seinäjoki University of Applied Sciences (SeAMK)	ASM International	asm materials information	reference resource	5553.09712430087	5007	4185.54144859642	5007
Finland	2010	Tampere University of Technology	ASM International	asm handbooks online	full text materials	1577.09289210222	1422	1188.7038026571	1422
Finland	2010	Aalto University	Association for Computer Machinery (ACM)	acm digital library	full text materials	4502.81092963082	4060	3393.90818480157	4060
Finland	2010	Arcada University of Applied Sciences	Association for Computer Machinery (ACM)	acm	full text materials	3855.11595847211	3476	2905.72040649514	3476
Finland	2010	HAAGA-HELIA University of Applied Sciences	Association for Computer Machinery (ACM)	acm digital library	full text materials	4162.32744307992	3753	3137.27522600007	3753
Finland	2010	University of Helsinki	Association for Computer Machinery (ACM)	acm digital library	full text materials	4469.53892768774	4030	3368.83004550501	4030
Finland	2010	University of Eastern Finland	Association for Computer Machinery (ACM)	acm digital library / acm	full text materials	4469.53892768774	4030	3368.83004550501	4030
Finland	2010	Jyväskylä University of Applied Sciences (JAMK)	Association for Computer Machinery (ACM)	acm digital library	full text materials	3855.11595847211	3476	2905.72040649514	3476
Finland	2010	University of Jyväskylä	Association for Computer Machinery (ACM)	acm digital library	full text materials	4469.53892768774	4030	3368.83004550501	4030
Finland	2010	University of Lapland	Association for Computer Machinery (ACM)	acm	full text materials	4162.32744307992	3753	3137.27522600007	3753
Finland	2010	Laurea University of Applied Sciences	Association for Computer Machinery (ACM)	acm digital library	full text materials	4162.32744307992	3753	3137.27522600007	3753
Finland	2010	Helsinki Metropolia University of Applied Sciences	Association for Computer Machinery (ACM)	acm digital library	full text materials	3855.11595847211	3476	2905.72040649514	3476
Finland	2010	Oulu University of Applied Sciences	Association for Computer Machinery (ACM)	acm digital library	full text materials	4162.32744307992	3753	3137.27522600007	3753
Finland	2010	University of Oulu	Association for Computer Machinery (ACM)	acm digital library	full text materials	4502.81092963082	4060	3393.90818480157	4060
Finland	2010	Satakunta University of Applied Sciences (SAMK)	Association for Computer Machinery (ACM)	acm	full text materials	3846.24342462062	3468	2899.03290268272	3468
Finland	2010	Seinäjoki University of Applied Sciences (SeAMK)	Association for Computer Machinery (ACM)	acm digital library	full text materials	3855.11595847211	3476	2905.72040649514	3476
Finland	2010	Tampere University of Technology	Association for Computer Machinery (ACM)	acm digital library	full text materials	4469.53892768774	4030	3368.83004550501	4030
Finland	2010	University of Tampere	Association for Computer Machinery (ACM)	acm digital library	full text materials	4469.53892768774	4030	3368.83004550501	4030
Finland	2010	VTT Technical Research Centre of Finland	Association for Computer Machinery (ACM)	acm	full text materials	4508.35626328801	4065	3398.08787468433	4065
Finland	2010	Turku University of Applied Sciences	Association for Computer Machinery (ACM)	acm digital library	full text materials	4162.32744307992	3753	3137.27522600007	3753
Finland	2010	University of Turku	Association for Computer Machinery (ACM)	acm digital library	full text materials	4315.37865201811	3891	3252.63466676426	3891
Finland	2010	University of Vaasa	Association for Computer Machinery (ACM)	acm digital library	full text materials	4162.32744307992	3753	3137.27522600007	3753
Finland	2010	Åbo Akademi University	Association for Computer Machinery (ACM)	acm digital library	full text materials	4315.37865201811	3891	3252.63466676426	3891
Finland	2010	University of Turku	Association of Asian Studies (AAS)	bibliography of asian studies	reference resource	1054.72246159579	951	794.977015701058	951
